school_name,ap_course_count,ap_students_tested,ap_tests_administered,ap_tests_3plus,ap_exam_pass_rate,act_composite_avg,act_english_avg,act_math_avg,act_reading_avg,act_science_avg,act_students_tested,graduation_rate,hope_eligible_pct,dropout_rate
Southwest Georgia S.T.E.M. Charter Academy,,,,,,,,,,,,75.0,58.33,
Southwest High School,1,23,23,1,4.3,15.6,14.8,14.8,16.7,15.5,16,92.9,24.26,4.6
Spalding High School,14,101,150,71,47.3,17.9,16.1,16.6,19.6,18.6,15,88.0,42.16,1.7
Spencer High School,7,63,72,13,18.1,16.4,15.1,16.2,18.1,15.8,10,94.78,25.71,1.3
Sprayberry High School,26,396,848,687,81.0,21.7,20.6,21.2,23.0,21.8,27,89.58,55.92,1.8
Starrs Mill High School,26,664,1516,1258,83.0,24.9,24.5,24.9,25.1,24.5,98,98.51,77.94,0.7
Statesboro High School,22,185,341,251,73.6,18.2,17.1,18.0,19.0,18.6,16,86.21,39.9,3.4
Statesboro STEAM Academy,,,,,,,,,,,,100.0,77.78,
Stephens County High School,7,109,144,101,70.1,21.5,19.1,20.1,23.1,22.6,14,96.1,56.63,1.8
Stephenson High School,11,135,174,69,39.7,16.2,14.8,15.9,16.9,16.9,24,86.1,27.5,2.9
Stephenson Middle School,1,,,,,,,,,,,,,
Stewart County High School,1,1,,,,16.3,14.3,16.3,16.8,17.1,12,100.0,30.43,
Stockbridge High School,12,106,138,58,42.0,15.8,14.3,15.3,17.2,16.6,39,81.67,29.17,3.2
Stockbridge Middle School,1,,,,,,,,,,,,,
Stone Mountain High School,6,62,68,32,47.1,15.9,14.2,15.2,17.2,18.5,13,83.44,39.92,5.8
Stone Mountain Middle School,1,,,,,,,,,,,,,
Summerour Middle School,4,,,,,,,,,,,,,
Sumter County High School,5,88,133,21,15.8,14.9,13.2,15.7,15.0,15.0,25,96.65,25.45,
Sumter County Middle School,2,,,,,,,,,,,,,
Sumter Youth Development Campus,,,,,,,,,,,,,,39.4
Swainsboro High School,1,25,25,2,8.0,19.5,19.6,18.4,21.1,18.7,14,86.19,44.13,2.7
Sweetwater Middle School,4,,,,,,,,,,,,,
Sylvan Hills Middle School,1,,,,,,,,,,,,,
Taliaferro County School,2,1,,,,15.7,13.8,16.2,16.3,15.8,13,93.33,36.36,
Tapestry Public Charter School,8,63,79,37,46.8,,,,,,,100.0,66.67,
Tapp Middle School,3,,,,,,,,,,,,,
